temp,humidity,windspeed,count
0.26,0.7,0.0,1
0.44,0.33,0.5224,79
0.42,0.35,0.1045,210
0.3,0.81,0.2239,31
0.26,0.75,0.3284,232
0.3,0.65,0.0,169
0.42,0.38,0.1045,296
0.24,0.87,0.0896,13
0.36,0.71,0.0,479
0.4,0.82,0.1343,13
0.36,0.93,0.0,138
0.46,0.82,0.194,156
0.5,0.59,0.2836,37
0.5,0.59,0.2836,49
0.22,0.55,0.194,2
0.26,0.6,0.194,373
0.36,0.93,0.1343,100
0.38,0.87,0.1343,345
0.38,0.87,0.2836,285
0.36,0.93,0.0896,198
0.36,1.0,0.0,4
0.38,0.94,0.1045,4
0.38,0.94,0.2537,294
0.36,0.76,0.2836,3
0.32,0.53,0.2239,601
0.3,0.56,0.2239,106
0.3,0.52,0.1642,34
0.32,0.49,0.2239,540
0.2,0.75,0.0896,10
0.34,0.61,0.0896,393
0.42,0.47,0.0,447
0.34,0.87,0.0,11
0.38,0.76,0.1343,310
0.36,0.93,0.1343,109
0.42,0.88,0.0,211
0.42,0.94,0.1343,120
0.48,0.48,0.2537,313
0.26,0.75,0.0896,31
0.42,0.5,0.194,218
0.34,0.76,0.1642,26
0.26,0.48,0.3881,90
0.24,0.48,0.1642,61
0.22,0.51,0.2836,53
0.14,0.69,0.1045,48
0.24,0.93,0.1642,26
0.28,0.65,0.2537,30
0.22,0.69,0.3582,2
0.3,0.49,0.4627,118
0.24,0.7,0.0896,62
0.24,0.75,0.0896,3
0.26,0.7,0.1343,18
0.3,0.61,0.2537,97
0.24,0.56,0.3582,13
0.2,0.51,0.2239,49
0.18,0.55,0.194,34
